User-ID,ISBN,Book-Rating
276744,038550120X,7
276754,0684867621,8
276755,0451166892,5
276762,0380711524,5
276772,0553572369,7
276772,3499230933,10
276788,0345443683,8
276788,043935806X,7
276788,055310666X,10
276796,0330332775,5
276798,3548603203,6
276804,0440498058,8
276811,0440414121,10
276813,8426449476,8
276822,0060096195,10
276822,0141310340,9
276822,0375821813,9
276822,0689804458,8
276822,0786817070,10
276828,2253150711,7
276830,0440225825,9
276832,0345446860,5
276837,0380005239,5
276847,3404148576,8
276847,3404921178,7
276847,3423071516,10
276847,3442413508,10
276847,3442435773,8
276847,3442437717,7
276847,3442441080,10
276847,3442444020,8
276847,3442446414,10
276847,3442448530,7
276847,3442449820,9
276847,347354034X,7
276847,3551551677,10
276847,3551551685,10
276847,3551551693,10
276847,3551551936,10
276847,359621078X,9
276847,360893541X,10
276847,3608935428,10
276847,3608935436,10
276850,0449217264,7
276859,0836218833,10
276859,0836220889,10
276859,088365721X,9
276861,3423201509,10
276861,360893541X,9
276861,3608935428,9
276861,3608935436,9
276866,3404139178,9
276866,345309221X,8
276872,042518109X,8
276872,0425188221,7
276875,8817106100,6
276875,8838910987,8
276887,0064430227,5
276887,0812533550,9
276896,0440241537,10
276904,0440228840,10
276904,0440414121,10
276905,0060542845,8
276911,8420636282,9
276911,8432205311,9
276925,002542730X,10
276925,0140154078,6
276925,0385504209,8
276925,0553275283,8
276925,063403541X,6
276925,8420432113,5
276925,950491036X,10
276928,059030271X,5
276928,0671021354,10
276928,0671026283,10
276929,2020564777,6
276929,2070404587,10
276929,2253171670,8
276929,2264031158,6
276929,2266102621,10
276929,2266104535,2
276936,3596122279,5
276939,2070419657,7
276939,2253063339,9
276939,2253137243,9
276939,2253144452,9
276939,2253152072,9
276939,226612269X,9
276939,8423310353,8
276953,0446310786,10
276954,3423118709,10
276957,0312966970,6
276964,0312169817,6
276964,0345348672,10
276964,0345354621,10
276964,0345435036,10
276964,0425104273,9
276964,0440218667,5
276964,0440220602,9
276964,0515131520,6
276964,0684867621,8
276964,0812550307,10
276964,0843949163,8
276964,0886773741,7
276964,0886774802,8
