User-ID,ISBN,Book-Rating
276762,3453092007,8
276774,3442136644,9
276786,8478442588,6
276798,0006379702,5
276813,8423996565,8
276813,8426449573,6
276813,8478885218,6
276814,0812571029,9
276822,0142302198,10
276822,038076041X,10
276822,0439401399,6
276822,0786812508,9
276847,3442422035,9
276847,3453137442,6
276854,0671034944,5
276866,3404126343,8
276866,3442443806,4
276872,0425167097,8
276875,8807810751,7
276888,8806162160,6
276916,0441008291,8
276925,840149236X,5
276929,2070386023,5
276929,2264027568,5
276929,2869305583,6
276936,3596147700,3
276939,2070414256,7
276939,2878580753,10
276964,0886777178,7
276984,0590436481,9
276984,0590442996,10
276994,342677609X,5
276994,3550075359,6
277051,0075536498,8
277107,006054094X,8
277134,1586609726,6
277157,0399141340,8
277157,0399146466,6
277157,0684801663,6
277165,8475251471,7
277188,0140254188,8
277203,0590442805,9
277203,0717284972,8
277203,087701759X,10
277351,3596200547,5
277427,0201000822,10
277427,0471018732,10
277427,067172021X,8
277427,0679419853,10
277427,0897330536,8
277427,0898793912,9
277427,156865037X,7
277427,1572304510,10
277427,1581690606,7
277469,0446609749,7
277471,3423101776,8
277478,006008216X,6
277478,0451162218,8
277478,1740595904,7
277509,0192823523,8
277509,0385492103,8
277517,0525946241,9
277527,0688178456,8
277562,0571212018,5
277563,0061053775,5
277565,0671741403,5
277588,8401499585,8
277639,0671823035,7
277662,0764222171,3
277681,2266000489,7
277710,0451210867,5
277727,3453198875,10
277744,0316117064,8
277744,0375760245,7
277746,0553576194,8
277901,089480751X,6
277918,0766607216,7
277921,0394868161,9
277928,0380978210,4
277929,0380782782,9
277929,0425191001,9
277929,0505523035,10
277945,0312980353,8
277954,0140096922,9
277965,0671240862,10
277982,0451206274,7
277982,0553283960,10
277996,0002240114,6
278002,0671672878,9
278019,0671002384,9
278026,0812528042,9
278063,0452281253,7
278137,0140350144,8
278137,0345274695,8
278137,0425189082,9
278181,0374527075,9
278181,0399139087,7
278188,0373290861,7
278188,0553574477,6
278188,0670877514,4
278188,0778320022,9
278188,1551660679,8
278188,1551664992,9
278202,068815090X,3
278202,1401030270,4
278207,0425191028,7
278221,0316031054,10
278221,0316779032,10
278221,0671027441,10
278221,0874776929,9
278221,155661246X,9
278221,1589196635,10
278253,0345455916,10
278255,0062720732,9
278255,0316926078,4
278319,1551667525,8
278356,0842304673,10
278357,0064407462,10
278418,0060392185,8
278418,0425048543,5
278418,044056753X,5
278418,0451136683,5
278418,051788710X,4
278418,059088008X,4
278418,0684835614,8
278418,0689828896,7
278418,0812508084,5
278418,0871318156,8
278418,0880380845,8
278459,0451409736,8
278461,050552502X,9
278554,0446314854,9
278582,0226848620,10
278582,0312957785,7
278582,0449223558,9
278582,0765344513,6
278633,0684837986,9
278694,042518692X,7
278732,1865085537,3
278752,0440402255,6
278851,0380865610,5
278851,0843106743,7
278851,0914511211,8
278854,0425163393,7
53,0156047624,10
99,0553347594,9
109,0671521519,5
183,2070567842,8
183,8440630794,7
215,0061030147,6
217,0140250964,8
242,3150000335,10
242,3257203659,9
243,0140272100,6
254,0312863934,9
254,0373836023,7
254,0553263633,8
254,156389226X,9
272,0670856045,7
300,0345430476,5
300,0671018930,5
387,0198320264,2
387,0373196989,6
388,039456894X,8
424,0375414746,6
460,887641486X,8
472,080521061X,9
503,0385483724,8
507,0312312628,9
507,034546074X,8
507,0425115844,7
507,0553294849,7
507,0743444523,8
595,1576737357,7
638,0060164662,10
638,0151000719,10
638,0345428900,8
640,0446602086,5
643,0140292918,8
643,057120354X,5
643,0747538069,8
643,2253170372,8
651,0553574167,6
651,0962893862,4
695,0312977905,5
709,0064409457,6
709,0152162445,10
709,0439221676,4
709,0440415993,10
709,0689832877,10
735,1551660016,10
741,0198320264,10
741,0590514776,6
790,0345341201,8
805,0911104542,10
850,3423009152,3
850,3492229336,8
850,3596133319,6
882,0425195899,9
882,0449700712,9
900,0441001335,5
900,0451450604,5
901,1853261750,9
929,044100962X,4
929,0553801031,9
929,0766607119,8
1025,0140620915,10
1025,0575073004,8
1026,1578562333,7
1048,0802433243,7
1063,0895773538,9
1098,031227999X,7
1116,0451409086,6
1123,0671522817,7
1129,0671318314,7
1155,0440217806,7
1155,0451402103,8
1155,0671701053,5
1161,0373226519,6
1211,014143984X,9
1211,0375726322,8
1211,2253009164,8
1211,2264028815,9
1211,2266000489,8
1211,2707318094,8
1248,0312205872,10
1344,0786014210,8
1376,0425172554,7
1424,0140185844,9
1424,0330357808,6
1424,0345439481,7
1424,0531301427,8
1424,0676974562,7
1424,0743228480,8
1424,0747265097,6
1424,1400060648,7
1435,0684863324,9
1435,1932270329,6
1466,3596113350,8
1485,0140004424,9
1485,0380706725,8
1548,037541181X,7
1558,0671698419,10
1585,0451147375,5
1585,0553343874,6
1616,0553580876,9
1733,0060536705,7
1733,0373168438,9
1733,0373706901,10
1733,0373707959,8
1733,0373835426,7
1733,0380777304,8
1733,0451205189,9
1745,0380804670,8
1762,8807810360,6
1791,0812504364,7
1805,9500703203,7
1835,9679787834,6
1844,3404920910,8
1848,0394712447,10
1848,0671722727,10
1848,0717802418,10
1863,3502517959,7
1869,0812530489,10
1888,0375726624,8
1891,1577487370,7
1903,0375757325,9
1903,0394743644,10
1903,0879804211,1
2024,0226067114,8
2024,0380717972,9
2030,0062500287,10
2030,0062513982,10
2030,1561707236,10
2033,0061056286,8
2033,0142500135,7
2033,0316779032,10
2033,0451459423,10
2033,0671027441,10
2033,0812523040,10
2033,0886775043,5
2033,0886775205,9
2033,0886776589,9
2033,0889652066,8
2038,038072930X,8
2041,0316754315,3
2045,8817844330,6
2046,0373123086,6
2077,0380725398,5
2084,8420483885,7
2084,8484509125,6
2104,0671010115,8
2110,0345260627,10
2110,0373765649,8
2110,0394553284,7
2110,0486270718,10
2110,0590213040,10
2110,0679811761,10
2110,0698119916,8
2110,0806512318,6
2132,0440236401,8
2132,0843952059,9
2135,0804110867,8
2163,325723273X,7
2189,0394757653,7
2197,0375727434,7
2223,1401068049,5
2276,0312974728,9
2276,0345357620,8
2276,0393310477,7
2276,0449007383,10
2276,0449237842,10
2276,0451452305,10
2276,0451454499,5
2276,0553240307,10
2276,0553289640,6
2276,0671547305,9
2276,0671635743,9
2276,0671721178,10
2276,0758201931,10
2276,0886772850,10
2276,0931580366,8
2276,1559723009,10
2288,0020519109,4
2337,0689823517,10
